name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pLDDT,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,LIpLDDT,cLIpLDDT_i,cLIpLDDT_j,cLIpLDDT,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j,structure_file
HSF1_HUMAN___ALDOA_HUMAN,1,3,A,B,0.0000,0.0,0.0,0.0000,0.2734,0.0000,0.0000,0.0,0.0,0.1700,35.4,94.2,59.4,0.460,0,0,0,0,,,,,,,529,364,,,,,HSF1_HUMAN___ALDOA_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___ALDOA_HUMAN,2,5,A,B,0.0000,0.0,0.0,0.0000,0.1715,0.0000,0.0000,0.0,0.0,0.1600,33.4,94.8,58.4,0.460,0,0,0,0,,,,,,,529,364,,,,,HSF1_HUMAN___ALDOA_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___ALDOA_HUMAN,3,4,A,B,0.0000,0.0,0.0,0.0000,0.1782,0.0000,0.0000,0.0,0.0,0.1500,33.8,94.8,58.7,0.460,0,0,0,0,,,,,,,529,364,,,,,HSF1_HUMAN___ALDOA_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___ALDOA_HUMAN,4,2,A,B,0.0000,0.0,0.0,0.0000,0.0000,0.0000,0.0000,0.0,0.0,0.1400,35.8,94.5,59.7,0.460,0,0,0,0,,,,,,,529,364,,,,,HSF1_HUMAN___ALDOA_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___ALDOA_HUMAN,5,1,A,B,0.0000,0.0,0.0,0.0000,0.1368,0.0000,0.0000,0.0,0.0,0.1300,34.9,94.9,59.4,0.460,0,0,0,0,,,,,,,529,364,,,,,HSF1_HUMAN___ALDOA_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___CAND1_HUMAN,1,4,A,B,0.0393,45.1,1.8,0.0121,0.6245,0.0470,0.0328,145.0,14.0,0.2700,29.2,89.0,71.0,0.630,63,34,8,6,70.3,83.8,75.0,65.5,52.0,59.7,529,1230,"[15-28,35-37,42,44-49,51-54,56-64,66-79,99-100,102-105,108,111-112,115-116,118]","[270-271,273-275,301-303,305-307,310,338-344,347-353,358-359,380,383,389-390,392-393]","[16-18,21,61,68,72,75]","[310,339,341-344]",HSF1_HUMAN___CAND1_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___CAND1_HUMAN,2,3,A,B,0.0000,0.0,0.0,0.0000,0.4086,0.0076,0.0000,3.0,0.0,0.2200,28.6,88.9,70.8,0.620,2,3,0,0,64.5,95.8,83.3,,,,529,1230,[72-73],"[274,352,390]",,,HSF1_HUMAN___CAND1_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___CAND1_HUMAN,3,1,A,B,0.0000,0.0,0.0,0.0000,0.4272,0.0000,0.0000,0.0,0.0,0.2300,29.7,87.8,70.3,0.590,0,0,0,0,,,,,,,529,1230,,,,,HSF1_HUMAN___CAND1_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___CAND1_HUMAN,4,5,A,B,0.0000,0.0,0.0,0.0000,0.3721,0.0000,0.0000,0.0,0.0,0.2200,29.3,89.0,71.0,0.630,0,0,0,0,,,,,,,529,1230,,,,,HSF1_HUMAN___CAND1_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___CAND1_HUMAN,5,2,A,B,0.0000,0.0,0.0,0.0000,0.2782,0.0000,0.0000,0.0,0.0,0.2100,28.7,88.1,70.2,0.600,0,0,0,0,,,,,,,529,1230,,,,,HSF1_HUMAN___CAND1_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
